Date,Station,Hauteur,Opérationnel
2019-01-02,01 VILLEURBANNE,0.0,True
2019-01-06,01 VILLEURBANNE,0.0,True
2019-01-07,01 VILLEURBANNE,0.0,True
2019-01-08,01 VILLEURBANNE,0.0,True
2019-01-09,01 VILLEURBANNE,0.0,True
2019-01-10,01 VILLEURBANNE,0.0,True
2019-01-11,01 VILLEURBANNE,0.0,True
2019-01-12,01 VILLEURBANNE,0.0,True
2019-01-13,01 VILLEURBANNE,0.0,True
2019-01-14,01 VILLEURBANNE,0.0,True
2019-01-15,01 VILLEURBANNE,0.0,True
2019-01-16,01 VILLEURBANNE,0.0,True
2019-01-17,01 VILLEURBANNE,0.0,True
2019-01-18,01 VILLEURBANNE,0.0,True
2019-01-19,01 VILLEURBANNE,0.0,True
2019-01-20,01 VILLEURBANNE,0.0,True
2019-01-21,01 VILLEURBANNE,0.0,True
2019-01-22,01 VILLEURBANNE,0.0,True
2019-01-23,01 VILLEURBANNE,0.0,True
2019-01-25,01 VILLEURBANNE,0.0,True
2019-01-26,01 VILLEURBANNE,0.0,True
2019-01-27,01 VILLEURBANNE,0.0,True
2019-01-28,01 VILLEURBANNE,0.0,True
2019-01-29,01 VILLEURBANNE,0.0,True
2019-01-30,01 VILLEURBANNE,0.0,True
2019-01-31,01 VILLEURBANNE,0.0,True
2019-02-01,01 VILLEURBANNE,0.0,True
2019-02-02,01 VILLEURBANNE,0.0,True
2019-02-03,01 VILLEURBANNE,0.0,True
2019-02-05,01 VILLEURBANNE,0.0,True
2019-02-06,01 VILLEURBANNE,0.0,True
2019-02-07,01 VILLEURBANNE,0.0,True
2019-02-09,01 VILLEURBANNE,0.0,True
2019-02-10,01 VILLEURBANNE,0.0,True
2019-02-11,01 VILLEURBANNE,0.0,True
2019-02-14,01 VILLEURBANNE,0.0,True
2019-02-15,01 VILLEURBANNE,0.0,True
2019-02-16,01 VILLEURBANNE,0.0,True
2019-02-18,01 VILLEURBANNE,0.0,True
2019-02-19,01 VILLEURBANNE,0.0,True
2019-02-20,01 VILLEURBANNE,0.0,True
2019-02-21,01 VILLEURBANNE,0.0,True
2019-02-25,01 VILLEURBANNE,0.0,True
2019-02-27,01 VILLEURBANNE,0.0,True
2019-02-28,01 VILLEURBANNE,0.0,True
2019-03-02,01 VILLEURBANNE,0.0,False
2019-03-03,01 VILLEURBANNE,0.0,True
2019-03-04,01 VILLEURBANNE,0.0,False
2019-03-06,01 VILLEURBANNE,0.0,True
2019-03-07,01 VILLEURBANNE,0.0,False
2019-03-08,01 VILLEURBANNE,0.0,False
2019-03-09,01 VILLEURBANNE,0.0,False
2019-03-10,01 VILLEURBANNE,0.0,False
2019-03-11,01 VILLEURBANNE,0.0,False
2019-03-12,01 VILLEURBANNE,0.0,False
2019-03-13,01 VILLEURBANNE,0.0,False
2019-03-14,01 VILLEURBANNE,0.0,False
2019-03-15,01 VILLEURBANNE,0.0,False
2019-03-17,01 VILLEURBANNE,0.0,False
2019-03-18,01 VILLEURBANNE,0.0,True
2019-03-19,01 VILLEURBANNE,0.0,True
2019-03-20,01 VILLEURBANNE,0.0,True
2019-03-22,01 VILLEURBANNE,0.0,True
2019-03-25,01 VILLEURBANNE,0.2,False
2019-03-26,01 VILLEURBANNE,0.0,True
2019-03-29,01 VILLEURBANNE,0.0,True
2019-03-30,01 VILLEURBANNE,0.0,True
2019-04-01,01 VILLEURBANNE,0.0,True
2019-04-02,01 VILLEURBANNE,0.0,True
2019-04-03,01 VILLEURBANNE,18.400000000000002,True
2019-04-04,01 VILLEURBANNE,4.6000000000000005,True
2019-04-05,01 VILLEURBANNE,0.0,True
2019-04-06,01 VILLEURBANNE,0.0,True
2019-04-07,01 VILLEURBANNE,1.4000000000000001,True
2019-04-08,01 VILLEURBANNE,0.2,True
2019-04-10,01 VILLEURBANNE,0.0,True
2019-04-11,01 VILLEURBANNE,0.0,True
2019-04-16,01 VILLEURBANNE,1.0,True
2019-04-17,01 VILLEURBANNE,0.2,True
2019-04-22,01 VILLEURBANNE,0.0,True
2019-04-23,01 VILLEURBANNE,1.2000000000000002,True
2019-04-24,01 VILLEURBANNE,2.2,True
2019-04-25,01 VILLEURBANNE,43.4,True
2019-04-26,01 VILLEURBANNE,2.8000000000000003,True
2019-04-27,01 VILLEURBANNE,2.6,True
2019-04-28,01 VILLEURBANNE,3.2,True
2019-05-02,01 VILLEURBANNE,6.6,True
2019-05-04,01 VILLEURBANNE,2.8000000000000003,True
2019-05-05,01 VILLEURBANNE,0.2,True
2019-05-07,01 VILLEURBANNE,0.0,True
2019-05-08,01 VILLEURBANNE,16.6,True
2019-05-09,01 VILLEURBANNE,2.8000000000000003,True
2019-05-10,01 VILLEURBANNE,1.2,True
2019-05-11,01 VILLEURBANNE,3.2,True
2019-05-12,01 VILLEURBANNE,0.0,True
2019-05-14,01 VILLEURBANNE,0.0,True
2019-05-16,01 VILLEURBANNE,0.0,True
2019-05-17,01 VILLEURBANNE,1.6,True
2019-05-18,01 VILLEURBANNE,4.8,True
2019-05-19,01 VILLEURBANNE,0.4,True
2019-05-20,01 VILLEURBANNE,1.2,True
2019-05-21,01 VILLEURBANNE,0.0,True
2019-05-24,01 VILLEURBANNE,0.0,True
2019-05-25,01 VILLEURBANNE,0.0,True
2019-05-27,01 VILLEURBANNE,0.0,True
2019-05-28,01 VILLEURBANNE,2.8000000000000003,True
2019-05-30,01 VILLEURBANNE,0.0,True
2019-06-02,01 VILLEURBANNE,0.0,True
2019-06-04,01 VILLEURBANNE,0.0,True
2019-06-05,01 VILLEURBANNE,2.4000000000000004,True
2019-06-06,01 VILLEURBANNE,1.0,True
2019-06-07,01 VILLEURBANNE,0.0,True
2019-06-08,01 VILLEURBANNE,0.0,True
2019-06-09,01 VILLEURBANNE,11.6,True
2019-06-10,01 VILLEURBANNE,14.4,True
2019-06-11,01 VILLEURBANNE,13.200000000000001,True
2019-06-12,01 VILLEURBANNE,7.8,True
2019-06-14,01 VILLEURBANNE,13.0,True
2019-06-15,01 VILLEURBANNE,22.6,True
2019-06-19,01 VILLEURBANNE,0.0,True
2019-06-20,01 VILLEURBANNE,0.4,True
2019-06-21,01 VILLEURBANNE,4.8,True
2019-06-22,01 VILLEURBANNE,0.0,True
2019-06-27,01 VILLEURBANNE,0.0,True
2019-07-01,01 VILLEURBANNE,3.4000000000000004,True
2019-07-03,01 VILLEURBANNE,0.0,True
2019-07-05,01 VILLEURBANNE,0.0,True
2019-07-06,01 VILLEURBANNE,2.0,True
2019-07-07,01 VILLEURBANNE,0.0,True
2019-07-08,01 VILLEURBANNE,0.0,True
2019-07-11,01 VILLEURBANNE,0.0,True
2019-07-12,01 VILLEURBANNE,0.0,True
2019-07-13,01 VILLEURBANNE,0.0,True
2019-07-14,01 VILLEURBANNE,0.0,True
2019-07-15,01 VILLEURBANNE,0.0,True
2019-07-16,01 VILLEURBANNE,0.0,True
2019-07-17,01 VILLEURBANNE,0.0,True
2019-07-18,01 VILLEURBANNE,0.0,True
2019-07-19,01 VILLEURBANNE,0.0,True
2019-07-20,01 VILLEURBANNE,1.0,True
2019-07-21,01 VILLEURBANNE,1.0,True
2019-07-22,01 VILLEURBANNE,0.2,True
2019-07-23,01 VILLEURBANNE,0.0,True
2019-07-24,01 VILLEURBANNE,0.0,True
2019-07-26,01 VILLEURBANNE,0.4,True
2019-07-27,01 VILLEURBANNE,30.2,True
2019-07-28,01 VILLEURBANNE,5.800000000000001,True
2019-07-30,01 VILLEURBANNE,0.0,True
2019-08-02,01 VILLEURBANNE,0.0,True
2019-08-05,01 VILLEURBANNE,0.2,True
2019-08-06,01 VILLEURBANNE,4.800000000000001,True
2019-08-07,01 VILLEURBANNE,28.6,True
2019-08-09,01 VILLEURBANNE,1.8,True
2019-08-10,01 VILLEURBANNE,26.6,True
2019-08-11,01 VILLEURBANNE,8.2,True
2019-08-12,01 VILLEURBANNE,6.4,True
2019-08-15,01 VILLEURBANNE,0.0,True
2019-08-18,01 VILLEURBANNE,2.4,True
2019-08-19,01 VILLEURBANNE,9.0,True
2019-08-20,01 VILLEURBANNE,15.0,True
2019-08-23,01 VILLEURBANNE,0.0,True
2019-08-24,01 VILLEURBANNE,0.0,True
2019-08-25,01 VILLEURBANNE,0.0,True
2019-08-26,01 VILLEURBANNE,0.0,True
2019-08-31,01 VILLEURBANNE,0.0,True
2019-09-02,01 VILLEURBANNE,0.0,True
2019-09-04,01 VILLEURBANNE,0.0,True
2019-09-05,01 VILLEURBANNE,0.0,True
2019-09-07,01 VILLEURBANNE,0.0,True
2019-09-08,01 VILLEURBANNE,0.6000000000000001,True
2019-09-09,01 VILLEURBANNE,0.0,True
2019-09-10,01 VILLEURBANNE,0.0,True
2019-09-11,01 VILLEURBANNE,0.0,True
2019-09-12,01 VILLEURBANNE,0.0,True
